"分类,网站名,网址"
"tool,梦之碎片工具箱,https://tools.dlozs.top/"
"tool,多功能工具箱,https://r2.dlozs.top/"
"tool,自建wiki,https://r1.dlozs.top/"
"tool,图片网站,https://pict.dlozs.top"
"common,百度,https://www.baidu.com"
"common,Bilibili,https://www.bilibili.com"
"common,知乎,https://www.zhihu.com"
"common,GitHub,https://github.com"
"common,ChatGPT,https://chatgpt.com"
"common,必应搜索,https://www.bing.com"
"secondary,维基百科,https://zh.wikipedia.org/"
"secondary,MDN Web Docs,https://developer.mozilla.org/"
"secondary,Stack Overflow,https://stackoverflow.com/"
"secondary,CSDN,https://www.csdn.net/"
"secondary,掘金,https://juejin.cn/"
